"title","abstract","date","source","origin_of_life","synthetic_biology","dominant_theme"
"Recovering the properties of the interstellar medium through integrated spectroscopy: application to the z~0 ECO volume-limited star-forming galaxy sample","Abstract:                Deriving physical parameters from integrated galaxy spectra is paramount to interpret the cosmic evolution of star formation, chemical enrichment, and energetic sources. We develop modeling techniques to characterize the ionized gas properties in the subset of 2052 star-forming galaxies from the volume-limited, dwarf-d_         _ More           Deriving physical parameters from integrated galaxy spectra is paramount to interpret the cosmic evolution of star formation, chemical enrichment, and energetic sources. We develop modeling techniques to characterize the ionized gas properties in the subset of 2052 star-forming galaxies from the volume-limited, dwarf-dominated, z~0 ECO catalog. The MULTIGRIS statistical framework is used to evaluate the performance of various models using strong lines as constraints. The reference model involves physical parameters distributed as power-laws with free parameter boundaries. Specifically, we use combinations of 1D photoionization models (i.e., considering the propagation of radiation toward a single cloud) to match optical HII region lines, in order to provide probability density functions of the inferred parameters. The inference predicts non-uniform physical conditions within galaxies. The integrated spectra of most galaxies are dominated by relatively low-excitation gas with a metallicity around 0.3 solar. Using the average metallicity in galaxies, we provide a new fit to the mass-metallicity relationship which is in line with direct abundance method determinations from the calibrated range at low metallicity to stacks at high metallicity. The average metallicity shows a weakly bimodal distribution which may be due related to external (e.g., refueling of non-cluster early-type galaxies above ~10^9.5 solar masses) or internal processes (more efficient star-formation in metal-rich regions). The specific line set used for inference affects the results and we identify potential issues with the use of the [SII] line doublet. Complex modelling approaches are limited by the inherent 1D model database as well as caveats regarding the gas geometry. Our results highlight, however, the possibility to extract useful and significant information from integrated spectra.         _ Less","","arXiv","1","1","multiple"
"Second-law-allowed temporal cooling of the coldest reservoir without external refrigeration","Abstract:                Non-equilibrium quantum thermodynamics is an intensively developing field with many existing applications. We study the dynamics of temperatures and chemical potentials of fermionic reservoirs coupled to an open quantum system. We show that heat transfer from the coldest reservoir to the hottest one is allowed by the Clausius inequality and results in transi_         _ More           Non-equilibrium quantum thermodynamics is an intensively developing field with many existing applications. We study the dynamics of temperatures and chemical potentials of fermionic reservoirs coupled to an open quantum system. We show that heat transfer from the coldest reservoir to the hottest one is allowed by the Clausius inequality and results in transient cooling of the coldest reservoir without additional external refrigeration. We show that during the establishment of thermal and chemical equilibrium, non-monotone evolution of reservoirs' temperatures and chemical potentials is possible, including changes in reservoirs' temperatures and chemical potentials orderliness. Achieved results can be used in the design of quantum thermal machines and nanoelectronic devices.         _ Less","","arXiv","0","1","synthetic_biology"
"Quantum-selected configuration interaction with time-evolved state","Abstract:                _device. Here we propose using a time-evolved state by the target Hamiltonian (for some initial state) as an input of QSCI. Our proposal is based on the intuition that the time evolution by the Hamiltonian creates electron excitations of various orders when applied to the initial state. We numerically investigate the accuracy of the energy obtained by the pro_         _ More           Quantum-selected configuration interaction (QSCI) utilizes an input quantum state on a quantum device to select important bases (electron configurations in quantum chemistry) which define a subspace where we diagonalize a target Hamiltonian, i.e., perform selected configuration interaction, on classical computers. Previous proposals for preparing a good input state, which is crucial for the quality of QSCI, based on optimization of quantum circuits may suffer from optimization difficulty and require many runs of the quantum device. Here we propose using a time-evolved state by the target Hamiltonian (for some initial state) as an input of QSCI. Our proposal is based on the intuition that the time evolution by the Hamiltonian creates electron excitations of various orders when applied to the initial state. We numerically investigate the accuracy of the energy obtained by the proposed method for quantum chemistry Hamiltonians describing electronic states of small molecules. Numerical results reveal that our method can yield sufficiently accurate ground-state energies for the investigated molecules. Our proposal provides a systematic and optimization-free method to prepare the input state of QSCI and could contribute to practical applications of quantum computers to quantum chemistry calculations.         _ Less","","arXiv","0","1","synthetic_biology"
"Hunting pre-stellar cores with APEX: IRAS16293E (Oph464)","Abstract:                Pre-stellar cores are the first steps in the process of star and planet formation. However, the dynamical and chemical evolution of pre-stellar cores is still not well understood. We aim at estimating the central density of the pre-stellar core IRAS16293E and at carrying out an inventory of molecular species towards th_         _ More           Pre-stellar cores are the first steps in the process of star and planet formation. However, the dynamical and chemical evolution of pre-stellar cores is still not well understood. We aim at estimating the central density of the pre-stellar core IRAS16293E and at carrying out an inventory of molecular species towards the density peak of the core. We observed high-$J$ rotational transitions of N$_2$H$^+$ and N$_2$D$^+$, and several other molecular lines towards the dust emission peak using the Atacama Pathfinder EXperiment (APEX) telescope, and derived the density and temperature profiles of the core using far-infrared surface brightness maps from $Herschel$. The N$_2$H$^+$ and N$_2$D$^+$ lines were analysed by non-LTE radiative transfer modelling. Our best-fit core model consists in a static inner region, embedded in an infalling envelope with an inner radius of approximately 3000 au (21' at 141 pc). The observed high-J lines of N$_2$H$^+$ and N$_2$D$^+$ (with critical densities greater than 10$^6$ cm$^{-3}$) turn out to be very sensitive to depletion; the present single-dish observations are best explained with no depletion of N$_2$H$^+$ and N$_2$D$^+$ in the inner core. The N$_2$D$^+$/N$_2$H$^+$ ratio that best reproduces our observations is 0.44, one of the largest observed to date in pre-stellar cores. Additionally, half of the molecules that we observed are deuterated isotopologues, confirming the high-level of deuteration towards this source. Non-LTE radiative transfer modelling of N$_2$H$^+$ and N$_2$D$^+$ lines proved to be an excellent diagnostic of the chemical structure and dynamics of a pre-stellar core. Probing the physical conditions immediately before the protostellar collapse is a necessary reference for theoretical studies and simulations with the aim of understanding the earliest stages of star and planet formation and the time scale of this process.         _ Less","","arXiv","2","1","origin_of_life"
"Unveiling the formation channels of stellar halos through their chemical fingerprints","Abstract:                _their formation and assembly history. Using simulations, we can trace the origins of different stellar populations in these halos, contributing to our understanding of galaxy evolution. We aim to investigate the assembly of stellar halos and their_         _ More           Stellar halos around galaxies contain key information about their formation and assembly history. Using simulations, we can trace the origins of different stellar populations in these halos, contributing to our understanding of galaxy evolution. We aim to investigate the assembly of stellar halos and their chemical abundances in 28 galaxies from CIELO project with logMgal[9 and 11]Msun. Stellar halos were identified using the AM E method, focusing on the outer regions between the 1.5 optical radius and the virial radius. We divided the stellar populations based on their formation channel: exsitu, endodebris, and insitu, and analyzed their chemical abundances, ages, and spatial distributions. Additionally, we explored correlations between halo mass, metallicity, and alpha element enrichment. CIELO simulations reveal that stellar halos are predominantly composed of accreted material (exsitu and endodebris stars), in agreement with previous works. The mass fraction of these populations is independent of stellar halo mass, though their metallicities scale linearly with it. Exsitu stars tend to dominate the outskirts and be more alpha rich and older, while endodebris stars are more prevalent at lower radii and tend to be less alpha rich and slightly younger. Massive stellar halos require a median of five additional satellites to build 90 percent of their mass, compared to lower mass halos, which typically need fewer (median of 2.5) and lower-mass satellites and are assembled earlier. The diversity of accreted satellite histories results in well defined stellar halo mass metallicity and [alpha/Fe] [Fe/H] relations, offering a detailed view of the chemical evolution and assembly history of stellar halos. We find that the [alpha/Fe] [Fe/H] is more sensitive to the characteristics and star formation history of the contributing satellites than the stellar halo mass metallicity relationship         _ Less","","arXiv","2","2","multiple"
"Explorando el impacto de los gradientes qu_micos en los procesos de mezcla del interior estelar","Abstract:                During the various steps of stellar evolution are formed convectives zones that alter the_         _ More           During the various steps of stellar evolution are formed convectives zones that alter the chemical stratification in stars. Usually, in astrophysics is used the Mixing Length Theory (MLT) for modeling the convective movement and, in general, it is used with the Schwarzschild instability criterion, which neglects the impact of chemical composition gradients in the development of convection. However, towards the end of central helium burning and during the thermal pulses in the Asymptotic Giant Branch (AGB) are produced stratification processes with inversions in the chemical gradient that would produce instabilities beyond the ones predicted by the Schwarzschild criterion. These instabilities would alter the chemical profile in the white dwarfs, with respect to the one predicted by MLT, having observable consequences in the pulsational modes of such objects. In the present work we will explore an extension of MLT in which we will consider the chemical instabilities as generators of convectives and non-convectives instabilities. This theory will be applied in stellar evolution models in comparison with standard MLT and a double diffusive mixing theory, discussing the benefits and shortcomings of each one.         _ Less","","arXiv","0","1","synthetic_biology"
"Control of open quantum systems: Manipulation of a qubit coupled to a thermal bath by an external driving field","Abstract:                _that even in the parameter regime suitable for the application of the Redfield/Lindblad approach, the two methods yield drastically different results when addressing evolution involving mixed states. In particular, we find that, in addition to predicting different optimal driving profiles, a more accurate description of system_         _ More           Fast and reliable manipulation with qubits is fundamental for any quantum technology. The implementation of these manipulations in physical systems is the focus of studies involving optimal control theory. Realistic physical devices are open quantum systems. So far, studies in optimal control theory have primarily utilized the Redfield/Lindblad quantum master equation to simulate the dynamics of such systems. However, this Markov description is not always sufficient. Here, we present a study of qubit control utilizing the nonequilibrium Green's function method. We compare the traditional master equation with more general Green's function results and demonstrate that even in the parameter regime suitable for the application of the Redfield/Lindblad approach, the two methods yield drastically different results when addressing evolution involving mixed states. In particular, we find that, in addition to predicting different optimal driving profiles, a more accurate description of system evolution enables the system to reach the desired final state much more quickly. We argue that the primary reason for this is the significance of the non-Markov description of driven system dynamics due to the effect of time-dependent driving on dissipation.         _ Less","","arXiv","0","1","synthetic_biology"
"Modelling chemical clocks -- Theoretical evidences of the space and time evolution of [s/alpha] in the Galactic disc with Gaia-ESO survey","Abstract:        Chemical clocks based on [s-process elements/alpha-elements] ratios are widely used to estimate ages of Galactic stellar populations. However, the [s/alpha] vs. age relations are not universal, varying with metallicity, location in the Galactic disc, and specific s-process elements. Current Galactic_         _ More   Chemical clocks based on [s-process elements/alpha-elements] ratios are widely used to estimate ages of Galactic stellar populations. However, the [s/alpha] vs. age relations are not universal, varying with metallicity, location in the Galactic disc, and specific s-process elements. Current Galactic chemical evolution models struggle to reproduce the observed [s/alpha] increase at young ages. We provide chemical evolution models for the Milky Way disc to identify the conditions required to reproduce the observed [s/H], [s/Fe], and [s/alpha] vs. age relations. We adopt a multi-zone chemical evolution model including state-of-the-art nucleosynthesis prescriptions for neutron-capture elements (AGB stars, rotating massive stars, neutron star mergers, magneto-driven supernovae). We explore variations in gas infall, AGB yield dependencies on progenitor stars, and rotational velocity distributions for massive stars. Results are compared with open cluster data from the Gaia-ESO survey. A three-infall scenario for disc formation captures the rise of [s/alpha] with age in the outer regions but fails in the inner ones, especially for second s-process peak elements. Ba production in the last 3 Gyr of chemical evolution would need to increase by half to match observations. S-process contributions from low-mass AGB stars improve predictions but require increases not supported by nucleosynthesis calculations, even with potential i-process contribution. Variations in the metallicity dependence of AGB yields show inconsistent effects across elements. Distributions of massive star rotational velocities fail to improve results due to balanced effects on elements. We confirm that there is no single relationship [s/alpha] vs. age, but that it varies along the MW disc. Current prescriptions for neutron-capture element yields cannot fully capture the complexity of evolution, particularly in the inner disc.         _ Less","","arXiv","2","1","origin_of_life"
"Differentiating Confined from Adsorbed Water in Single-Walled Carbon Nanotubes via Electronic Transport","Abstract:                _(CNTFET) constructed with an isolated single carbon nanotube subjected to controlled environments. More precisely, this distinction is made possible by observing the evolution of the transfer characteristic as a function of the electric field imposed by the gate voltage. It appears that the presence of water results in a displacement of the electrical neutra_         _ More           In this article, we show that it is possible to differentiate between water adsorbed on the outside of a single-walled carbon nanotube and that confined inside. To this aim, we measured the electronic transport of a carbon nanotube based field effect transistor (CNTFET) constructed with an isolated single carbon nanotube subjected to controlled environments. More precisely, this distinction is made possible by observing the evolution of the transfer characteristic as a function of the electric field imposed by the gate voltage. It appears that the presence of water results in a displacement of the electrical neutrality point, corresponding to a charge transfer between the nanotube and its environment. Using this approach, we demonstrate the existence of 3 types of water molecules: (i) chemically adsorbed on the SiO\\textsubscript{2} surface of the substrate, i.e., forming silanol groups; (ii) physically adsorbed outside next to the nanotube; and (iii) confined inside the nanotube. The first one can only be eliminated by high temperature treatment under vacuum, the second one desorbs in a moderate vacuum at room temperature, while the confined water can be removed at room temperature at higher vacuum, i.e. $10^{-3}$ mbar. We also observe that both water adsorption outside and water confinement inside the nanotube are spontaneous and rather fast, i.e. less than 1 minute in our experimental conditions, while removing the water adsorbed outside and confined inside takes much longer, i.e. 40-60 minutes, thus indicating that water confinement is thermodynamically favorable. It is also shown that the metallicity of the nanotube has no qualitative influence on its interaction with water. Our results experimentally prove the stronger affinity of water for the inner surface of CNT than for the outer one.         _ Less","","arXiv","0","1","synthetic_biology"
"Structure and Dynamic Evolution of Interfaces between Polymer Solutions and Gels and Polymer Interdiffusion: A Molecular Dynamics Study","Abstract:                _time regimes are observed: An initial compression of the gel caused by the osmotic pressure of the solution, followed by an expansion due to swelling. We characterize the time evolution of density profiles, the penetration of free polymers into the gel and the connection between the gel and solution phase. The interfacial structure locally equilibrates after_         _ More           Letting free polymers diffuse from solution into a crosslinked polymer gel is often a crucial processing step in the synthesis of multiphase polymer-based gels, e.g., core-shell microgels. Here we use coarse-grained molecular dynamics simulations to obtain molecular insights into this process. We consider idealized situations where the gel is modeled as a regular polymer network with the topology of a diamond lattice, and all free polymers and strands have the same length and consist of the same type of monomer. After bringing the gel and the polymer solution into contact, two time regimes are observed: An initial compression of the gel caused by the osmotic pressure of the solution, followed by an expansion due to swelling. We characterize the time evolution of density profiles, the penetration of free polymers into the gel and the connection between the gel and solution phase. The interfacial structure locally equilibrates after roughly 100 chain relaxation times. At late times, the free chains inside the gel undergo a percolation transition if the polymer concentration in the gel exceeds a critical value, which is of the same order as the overlap concentration. The fluctuations of the interface can be described by a capillary wave model that accounts for the elasticity of the gel. Based on this, we extract the interfacial tension of the gel-solution interface. Interestingly, both the interfacial tension and the local interfacial width increase with increasing free polymer concentration - in contrast to liquid-liquid interfaces, where these two quantities are typically anticorrelated.         _ Less","","arXiv","0","1","synthetic_biology"
"The Circumgalactic Medium","Abstract:                _processes. The circumgalactic medium (CGM) contains multiphase gas spanning a broad dynamic range in spatial scale, density, and temperature, with its thermodynamic and chemical properties deeply linked to the star formation histories of galaxies. As a rich laboratory for studying gas physics, the CGM offers unique insights into the processes governing gas c_         _ More           Galaxies are part of a vast cosmic ecosystem, embedded in an extensive gaseous reservoir that regulates their growth by providing the necessary fuel for star formation while preserving a fossil record of past interactions, outflows, and feedback processes. The circumgalactic medium (CGM) contains multiphase gas spanning a broad dynamic range in spatial scale, density, and temperature, with its thermodynamic and chemical properties deeply linked to the star formation histories of galaxies. As a rich laboratory for studying gas physics, the CGM offers unique insights into the processes governing gas cooling, heating, and material transfer between galaxies and their surroundings. Chemical tagging, based on the relative abundances of multiple elements, serves as a powerful timing tool to trace the origin of the gas and connect the stars in the interstellar medium (ISM) to the diffuse CGM. Developing a complete understanding of the CGM and its cosmic evolution requires multi-wavelength observational tools, ranging from X-ray, UV/optical, and sub-mm to radio, to probe this diffuse gas in both absorption and emission.         _ Less","","arXiv","1","2","synthetic_biology"
"The JWST EXCELS survey: direct estimates of C, N, and O abundances in two relatively metal-rich galaxies at $\\mathbf{z\\simeq5}$","Abstract:                _to the majority of local galaxies. In contrast to the top-heavy IMF invoked in some studies to explain low C/N ratios in metal-poor galaxies, we find, via comparison to chemical evolution models, that a standard or bottom-heavy IMF better explains the observed abundance ratios in more enriched systems due to an increas_         _ More           We present a spectroscopic analysis of two star-forming galaxies at z~5 observed with JWST/NIRSpec as part of the Early eXtragalactic Continuum and Emission Line Science (EXCELS) survey. The detection of the C III]$_$1906,09, [O II]$_$3726,29, [O III]$_$4363,5007, and [N II]$_$6584 nebular emission lines enables investigation of the C/O, N/O, and C/N abundance ratios using the temperature-sensitive method. The two galaxies have stellar masses of log($M_{\\star}$/M$_{\\odot}$ ) = 8.13$\\pm$0.09 and log($M_{\\star}$/M$_{\\odot}$ )=8.52$\\pm$0.13 and corresponding metallicities of Z~0.2Z$_{\\odot}$ and Z~0.3Z$_{\\odot}$. These metallicities are somewhat higher than is typical for other z>5 galaxies with similar stellar mass and are in fact comparable to high-redshift analogue galaxies at z~0. Both galaxies display evidence for N/O enhancement with respect to the z~0 sample, with log(N/O)=-1.07$\\pm$0.17 and log(N/O)=-0.86$\\pm$0.15 respectively. In contrast, we find low C abundances, with log(C/O)=-0.82$\\pm$0.22 and log(C/O)=-1.02$\\pm$0.22, consistent with the predicted yields of core-collapse supernovae. Following the trend observed in other high-redshift sources, we find that the C/N ratios are lower at fixed O/H compared to the majority of local galaxies. In contrast to the top-heavy IMF invoked in some studies to explain low C/N ratios in metal-poor galaxies, we find, via comparison to chemical evolution models, that a standard or bottom-heavy IMF better explains the observed abundance ratios in more enriched systems due to an increase in N-enrichment from intermediate mass (4-7M$_{\\odot}$) stars. Our results demonstrate that robust measurements of CNO abundances with JWST can reveal unique enrichment pathways in galaxies as a function of both metallicity and redshift.         _ Less","","arXiv","1","1","multiple"
"3 mm Spectroscopic Observations of Massive Star-Forming Regions with IRAM 30-m","Abstract:                _molecules. The related parameters, such as peak temperature, integrated intensity, and line width of the identified molecular lines were obtained. The line widths of the chemically related molecules show strong positive correlations, suggesting they likely originate from similar gases within star-forming regions. This work highlights the fundamental properti_         _ More           Broadband spectroscopic observations with high sensitivity provide an unbiased way to detect emissions of molecules in space. We present deep observations from ~ 105.8 GHz to 113.6 GHz toward 50 Galactic massive star-forming regions using IRAM 30-m millimeter telescope, with noise levels ranging from 6 to 29 at frequency channel spacing of 195 kHz, which corresponds to ~ 0.54 km/s at 110 GHz. Totally, 27 molecular species have been identified, of which 16 are complex organic molecules. The related parameters, such as peak temperature, integrated intensity, and line width of the identified molecular lines were obtained. The line widths of the chemically related molecules show strong positive correlations, suggesting they likely originate from similar gases within star-forming regions. This work highlights the fundamental properties of the detected molecular lines and offers a valuable dataset for further studies on the astrochemical evolution of molecules in massive star-forming cores.         _ Less","","arXiv","1","1","multiple"
"On the evolutionary nature of massive B-type supergiants: a modern empirical reappraisal using data from IACOB, Gaia and TESS","Abstract:                Massive stars are key contributors to the chemodynamical evolution of galaxies and the Universe. Despite their significance, discrepancies between observational data and theoretical models of massive stars challenge our understanding of these objects. A major uncertainty is the overdensity of B-type supergiants (BSGs) in the Hertzsprung-Russell diagram, wher_         _ More           Massive stars are key contributors to the chemodynamical evolution of galaxies and the Universe. Despite their significance, discrepancies between observational data and theoretical models of massive stars challenge our understanding of these objects. A major uncertainty is the overdensity of B-type supergiants (BSGs) in the Hertzsprung-Russell diagram, where models predict the end of the main sequence phase (or TAMS). Is uncertain whether the TAMS needs to be redefined or if the overdensity results from overlapping populations following different evolutionary paths. Conceived as direct descendants of O-type stars, BSGs may include stars not only evolving in the main sequence but also returning from a post-red supergiant phase. A representative fraction of massive stars are predicted to be products of binary interaction, creating additional evolutionary channels. In addition, some fundamental properties of BSGs such as the spin- and mass-loss rates are not as well constrained as in O-type stars, having a significant impact on massive star evolution. To overcome this situation, statistically significant spectroscopic samples offer a unique opportunity to study the physical and chemical properties of BSGs. Moreover, the advent of space astrometry and photometry missions such as Gaia and TESS has brought a new era for studying additional properties in detail. This thesis comprises the study of 1000 Galactic blue supergiants (O- and B-type) combining multi-epoch high-resolution spectroscopic data from the IACOB project and the ESO archive with Gaia distances and TESS photometry, becoming the largest holistic empirical study of the physical, chemical, and pulsational properties of these objects performed to date. All these properties gathered into a unique volume-limited sample allowed to provide an empirical reassessment of the main properties of BSGs and investigate their intricate nature.         _ Less","","arXiv","0","1","synthetic_biology"
"Chemical Evolution of R-process Elements in Stars (CERES). III. Chemical abundances of neutron capture elements from Ba to Eu","Abstract:                The chemical abundances of elements such as barium and the lanthanides are essential to understand the nucleosynthesis of heavy elements in the early Universe as well as the contribution of different neutron capture processes (for example slow versus rapid) at different epochs. The_         _ More           The chemical abundances of elements such as barium and the lanthanides are essential to understand the nucleosynthesis of heavy elements in the early Universe as well as the contribution of different neutron capture processes (for example slow versus rapid) at different epochs. The Chemical Evolution of R-process Elements in Stars (CERES) project aims to provide a homogeneous analysis of a sample of metal-poor stars ( [Fe/H]\\<-1.5) to improve our understanding of the nucleosynthesis of neutron capture elements, in particular the r-process elements, in the early Galaxy. Our data consist of a sample of high resolution and high signal-to-noise ratio UVES spectra. The chemical abundances were derived through spectrum synthesis, using the same model atmospheres and stellar parameters as derived in the first paper of the CERES series. We measured chemical abundances or upper limits of seven heavy neutron capture elements (Ba, La, Ce, Pr, Nd, Sm, and Eu) for a sample of 52 metal-poor giant stars. We estimated through the mean shift clustering algorithm that at Ba/H =-2.4 and Fe/H =-2.4 a variation in the trend of X/Ba with X=La,Nd,Sm,Eu, versus Ba/H occurs. This result suggests that, for Ba/H $\\<$$-2.4$, Ba nucleosynthesis in the Milky Way halo is primarily due to the $r$-process, while for Ba/H \\<-2.4 the effect of the s-process contribution begins to be visible. In our sample, stars with Ba/Eu compatible with a Solar System pure r-process value (hereafter, r-pure) do not show any particular trend compared to other stars, suggesting r-pure stars may form in similar environments to stars with less pure r-process enrichments. Homogeneous investigations of high resolution and signal-to-noise ratio spectra are crucial for studying the heavy elements formation, as they provide abundances that can be used to test nucleosynthesis models as well as Galactic chemical evolution models.         _ Less","","arXiv","2","1","origin_of_life"
"Chemodynamic evolution of Sun-like stars in nearby moving groups","Abstract:                Sun-like stars are well represented in the solar neighbourhood but are currently under-utilised, with many studies of chemical and kinematic evolution focusing on red giants (which can be observed further away) or turn-off stars (which have well measured ages). Recent surveys (e.g. GALAH) provide spectra for large numb_         _ More           Sun-like stars are well represented in the solar neighbourhood but are currently under-utilised, with many studies of chemical and kinematic evolution focusing on red giants (which can be observed further away) or turn-off stars (which have well measured ages). Recent surveys (e.g. GALAH) provide spectra for large numbers of nearby Sun-like stars, which provides an opportunity to apply our newly developed method for measuring metallicities, temperatures, and surface gravities - the EPIC algorithm - which yields improved ages via isochrone fitting. We test this on moving groups, by applying it to the large GALAH DR3 sample. This defines a sample of 72,288 solar analogue targets for which the stellar parameter measurements are most precise and reliable. These stars are used to estimate, and test the accuracy and precision of, age measurements derived with the SAMD isochrone fitting algorithm. Using these ages, we recover the age-metallicity relationships for nearby (<= 1 kpc) moving groups, traced by solar analogues, and analyse them with respect to the stellar kinematics. In particular, we found that the age-metallicity relationships of all moving groups follows a particular trend of young (age < 6 Gyr) stars having constant metallicity and older (age >= 6 Gyr) stars decreasing in metallicity with increasing age. The Hercules stream carries the highest fraction of metal-rich young stars (~ 0.1 dex) in our sample, which is consistent with a migrating population of stars from the inner Galaxy, and we discuss the possible causes of this migration in the context of our results.         _ Less","","arXiv","0","1","synthetic_biology"
"Towards Galactic Archaeology with Inferred Ages of Giant Stars From Gaia Spectra","Abstract:                _Gyr. Since SIDRA-XP outperforms SIDRA-RVS, we apply SIDRA-XP to analyse the ages for 2,218,154 stars. This allowed us to map the chronological and chemical properties of Galactic disc stars, revealing distinct features such as the Gaia-Sausage-Enceladus merger and a potential gas-rich interaction event linked to the first infall of the Sagittarius dwarf gal_         _ More           In the era of Gaia, the accurate determination of stellar ages is transforming Galactic archaeology. We demonstrate the feasibility of inferring stellar ages from Gaia's RVS spectra and the BP/RP (XP) spectrophotometric data, specifically for red giant branch and high-mass red clump stars. We successfully train two machine learning models, dubbed SIDRA: Stellar age Inference Derived from Gaia spectRA to predict the age. The SIDRA-RVS model uses the RVS spectra and SIDRA-XP the stellar parameters obtained from the XP spectra by Fallows and Sanders 2024. Both models use BINGO, an APOGEE-derived stellar age from Ciuca et al. 2021 as the training data. SIDRA-RVS estimates ages of stars whose age is around $__\\mathrm{BINGO}=10$ Gyr with a standard deviation of residuals of $\\sim$ 0.12 dex in the unseen test dataset, while SIDRA-XP achieves higher precision with residuals $\\sim$ 0.064 dex for stars around $__\\mathrm{BINGO}=10$ Gyr. Since SIDRA-XP outperforms SIDRA-RVS, we apply SIDRA-XP to analyse the ages for 2,218,154 stars. This allowed us to map the chronological and chemical properties of Galactic disc stars, revealing distinct features such as the Gaia-Sausage-Enceladus merger and a potential gas-rich interaction event linked to the first infall of the Sagittarius dwarf galaxy. This study demonstrates that machine learning techniques applied to Gaia's spectra can provide valuable age information, particularly for giant stars, thereby enhancing our understanding of the Milky Way's formation and evolution.         _ Less","","arXiv","1","1","multiple"
"Mountain pine beetle struggles with jack pine: A mechanistic explanation for slowed range expansion in Alberta","Abstract:                _jack pine's phenotype itself is the primary impediment. We propose that jack pine's smaller size, thinner phloem, and lower monoterpene concentrations result in weaker chemical cues during the host-finding and mass-attack stages of MPB's life cycle, ultimately leading to fewer successful attacks. These findings suggest a reduced risk of further e_         _ More           Following widespread outbreaks across western North America, mountain pine beetle recently expanded its range from British Columbia into Alberta. However, mountain pine beetle's eastward expansion across Canada has stalled unexpectedly, defying predictions of rapid spread through jack pine, a novel host tree. This study investigates the underlying causes of this deceleration using an integrative approach combining statistical modeling, simulations, and experimental data. We find that the slow spread is primarily due to mountain pine beetle's difficulty in finding and successfully attacking jack pine trees, rather than issues with reproduction or larval development. The underlying mechanism impeding beetle range expansion has been hypothesized to be lower pine volumes in eastern forests, which are primarily a consequence of lower stem density. However, our analysis suggests that jack pine's phenotype itself is the primary impediment. We propose that jack pine's smaller size, thinner phloem, and lower monoterpene concentrations result in weaker chemical cues during the host-finding and mass-attack stages of MPB's life cycle, ultimately leading to fewer successful attacks. These findings suggest a reduced risk of further eastward spread, but should be interpreted cautiously due to enormous policy implications and the inherent limitations of ecological forecasting.         _ Less","","arXiv","0","1","synthetic_biology"
"Yields from massive stars in binaries. Chemical evolution of the Milky Way disk","Abstract:                A large fraction of massive stars in the Galaxy reside in binary systems and their evolution is different from that of single stars. The yields of massive stars, which are the main responsible for the production of metals, can be therefore affected by the binary nature of the systems. Recently, Farmer et al. (2023) computed new grids of yields for single and_         _ More           A large fraction of massive stars in the Galaxy reside in binary systems and their evolution is different from that of single stars. The yields of massive stars, which are the main responsible for the production of metals, can be therefore affected by the binary nature of the systems. Recently, Farmer et al. (2023) computed new grids of yields for single and binary-stripped massive stars with solar chemical composition. The main purpose of this paper is to test these yields on the chemical evolution of Galactic stars. To do that, we adopt well-tested chemical evolution models for the Milky Way disk, implementing both yields for single and binary-stripped massive stars. In particular, we assume different percentages of massive binary systems within the initial mass function. We compute the evolution of 22 chemical species starting from $^{4}$He to $^{64}$Zn. Our main results can be summarized as follows: i) when adopting the yields of Farmer et al. (2023), large differences are found relative to the predicted solar abundances by chemical evolution models adopting 'standard' massive star yields from the literature for $^{12}$C, $^{14}$N, $^{24}$Mg, $^{39}$K, $^{40}$Ca, $^{55}$Mn and $^{59}$Co. Generally, the yields for single stars reproduce slightly better the observed solar abundances, although for several elements a large fraction of binaries helps in reproducing the observations; ii) different fractions of massive binaries (from 50% to 100%) produce negligible differences in the predicted solar abundances, whereas the differences are more marked between models with and without binary-stripped stellar yields; iii) for the [X/Fe] vs. [Fe/H] relations, the yields including massive stars in binaries produce the best results for $^{52}$Cr, while for $^{12}$C, $^{39}$K, $^{40}$Ca and $^{24}$Mg the best results are obtained with Farmer's yields with no binaries.         _ Less","","arXiv","1","1","multiple"
